Carimbo de data/hora;Título;Descrição;Data;Ficheiros;Tipo
9/28/2024 23:17:12;;Também no dia 28/01, as Seniores Femininas, em parceria com o Sporting, jogaram a final do Campeonato Nacional da Divisão de Honra Feminina contra o Benfica no Campo de Rugby do Jamor;28/01/2024;https://drive.google.com/open?id=1EDGVsLDQ4VkHtXvb2pyeA0ksFFVGOuY4;Jogo
10/2/2024 14:21:59;;"No dia 4 de fevereiro os tiveram o seu torneio na Bairrada, em que estiveram envolvidas as equipas RC Tondela, RC Lousã e RC Bairrada. Neste dia as Seniores Femininas também jogaram, em parceria com o Sporting CP, contra a AEES Agrária nos 1/4ˋs de final da Taça de Portugal Feminina no Estádio Universitário de Lisboa. ";04/02/2024;https://drive.google.com/open?id=1AgrDlwArqTnSbxwwAXemYNSXhiZ2KLRz, https://drive.google.com/open?id=16V8BzG-z9Jkbyq6ipWWDyKznR-YP-RVP;Jogo
10/2/2024 14:30:20;;No dia 3 de fevereiro, os seniores masculinos, em parceria com os Dark Horses, jogaram contra o Oeiras Rugby para o Campeonato Nacional 2 (CN2), no Campo - A no Jamor. ;03/02/2024;https://drive.google.com/open?id=1cThpXoVKddnBBUEyF434qe2QNA9JR4_v;Jogo
10/2/2024 15:12:32;;No dia 17 de fevereiro os nossos Sub-19, em parceria com o SL Benfica Rugby, jogaram contra o SC Porto no Estadio Universitário de Lisboa. ;17/02/2024;;Jogo
10/2/2024 15:30:08;;"Também neste dia, os nossos atletas Rodrigo Branco e Luanna Monteiro, estiveram presentes no Estágio da seleção de sub14. Os nossos seniores masculinos, tiveram jogo contra o CR São Miguel A, no complexo desportivo municipal de São João de Brito.  As nossas seniores também estiveram presentes na 3ª jornada de emergentes, em que jogaram contra o RC Elvas e o Sporting CP, organizado pelo GD Direito em Monsanto.";17/02/2024;https://drive.google.com/open?id=1J7MRzMVXEO51LFGdrIQE3F6SSG7SkgeQ, https://drive.google.com/open?id=1rW67jIYEqGWLmWrYqUhrmm23r-2IhAmi, https://drive.google.com/open?id=1NggurXa7_qfeVtiaCTsKJRTpz1XbY3VE;Jogo
10/3/2024 14:47:09;Escolas ;No dia 21 e fevereiro a Academia Ubuntu Rugby este presente na Creche e Jardim de Infância da Portela de Sintra. ;21/02/2024;;Atividade
10/3/2024 14:54:00;Escolas;No dia 28 de fevereiro a AUR também este presente na EB Serra das Minas nº1, em prol de uma introdução ao rugby para os mais novos. ;28/02/2024;;Atividade
10/3/2024 15:16:41;;"No dia 24 de fevereiro os nossos sub8/10/12 participaram num convívio de apoio á Seleção Nacional Feminina. Neste dia, as Seniores Femininas participaram na 6ª etapa de emergentes no Campo - B do Jamor, contra o Sporting CP. ";24/02/2024;https://drive.google.com/open?id=1QXjmfgUqGIl_cO1FyqwD6iOYRVnZfhlP, https://drive.google.com/open?id=1o7XmBYPsYhO1I98A6vhiVpGk16ih-jAz;Jogo
10/7/2024 14:19:41;;No dia 3 de março, a AUR esteve presente no Centro Social Paroquial de Algueirão - Mem Martins, em auxilio da contagem de produtos alimentares.;01/03/2024;https://drive.google.com/open?id=1pd86UZbty2bd0FWnMkytNqjYw0F7mpw4;Atividade
10/7/2024 14:40:32;;No dia 2 de março os nossos seniores masculinos, em parceria com os Dark Horses Rugby, jogaram a sua ultima etapa do CN2 contra o Belas Rugby Clube, no Regimento de Artilharia Anti-Aeria nº1. ;02/03/2024;https://drive.google.com/open?id=1kT98ODL-3UH-ALKwuyIZiadMsO7jw0n8;Jogo
10/7/2024 14:52:24;;No dia 3 de março, os nossos atletas contribuiram na organização do Convivio de Apoio a Seleção Masculina, na Tapada da Ajuda, Agronomia, onde os nossos escalões sub8/10/12 participaram.;03/03/2024;https://drive.google.com/open?id=1Xxc6HSKN5Fl-LK8ASxRMj95As73GoVBL, https://drive.google.com/open?id=14oDKo0eT9vq6NshwvdK0FTosbbOyDZKu;Atividade
10/7/2024 14:56:34;;No dia 26 de fevereiro, a AUR compareceu à Assinatura do Protocolo com a Junta de Freguesia de Algueirão - Mem Martins.  ;26/02/2024;https://drive.google.com/open?id=1VcAHUuUJUOZPHZXKF0sEkOp_qO-Ry3ON;Atividade
10/7/2024 15:08:19;Escolas;Entre os dias 4 e 6 de março, a AUR esteve presente na Escola Básica de Lourel, e no dia 7, no Jardim de Infância do Ral, para lecionar iniciações ao rugby.;04/03/2024;https://drive.google.com/open?id=1DtAJJFTES3C4aZl5hWPVmPiNiVPBTIM9;Atividade
10/7/2024 15:22:13;;No dia 9 de março, os nossos sub14, em parceria com o SL Benfica Rugby, estiveram presentes noutra jornada, em Belas,  no Campo BRC, do RAAA1, em que jogaram contra o GD Alcochetense e p GD Direito.  ;09/03/2024;https://drive.google.com/open?id=1niFjPyxBmGFuAOWRBtg6i8EFOpzHcbam;Jogo
10/7/2024 16:00:59;;No dia 23 de março, os nossos sub14, em parceria com o SL Benfica Rugby, estiveram presentes numa jornada, no Campo do Arsenal 72, em Algueirão - Mem Martins, em que disputaram 3 jogos, contra o RC Loulé, Caldas RC/Ericeira e o Caldas RC/Ericeira/RC Elvas/Loulé Alcochetense e p GD Direito.  ;23/03/2024;https://drive.google.com/open?id=1N-DxgtdtrjuZPu5BrZlaYpI1scTOPvGc;Jogo
10/7/2024 16:17:19;;No dia 13 de março, as Seniores Femininas em parceria com o Sporting CP Rugby e com o Rugby de São Miguel, participaram num jogo de treino contra atletas Norte Americanas, no EUL. ;13/03/2024;;Jogo
10/7/2024 16:33:19;;No dia 24 de março, Naquele que foi o último jogo desta época em parceria com os Dark Horses Rugby, os séniores masculinos jogaram contra o GDA Rugby, em Belas, no RAAAN1. ;24/03/2024;https://drive.google.com/open?id=1M_YheCWu8H3XrC5Yeb8wNw0xhtQloPgj;Jogo
10/7/2024 16:34:35;;Ainda neste dia, como modo de preparação para o Portugal Rugby Youth Festival 2024, as nossas atletas sub-15 marcaram presença no estágio regional sul.;24/03/2024;https://drive.google.com/open?id=1ENB_7RJNN5N-4tcSQPzyBMXvHKfL1_CY;Jogo
10/7/2024 16:36:32;;Os nossos séniores masculinos disputaram o seu primeiro jogo de treino, sem parceria, contra os Dark Horses Rugby, em Belas, no RAAAN1.;18/03/2024;https://drive.google.com/open?id=12v-p2Ylj_s9yeEFdcOKqVtUkRHKWwTJ1;Jogo
10/7/2024 16:38:25;;Neste dia, a AUR decidiu organizar uma caça aos ovos para os atletas e familiares de modo a celebrar, a Páscoa, no Parque Urbano da Cavaleira;24/03/2024;https://drive.google.com/open?id=1UhZDMXM-VdGENhtE4b7ycZQIxUos4NIh;Atividade
10/7/2024 16:39:31;;Os nossos escalões de formação, sub8/10/12, marcaram presença no 7° Torneio Internacional do Direito.;23/03/2024;https://drive.google.com/open?id=1rhgP541nKrZ-dYEzEN7CJfebYp2Y0qAo;Jogo
10/7/2024 16:44:14;;Em parceria com o SL Benfica Rugby, os Sub-19 jogaram contra o RCM/GDA/Elvas, no Complexo de Montemor. ;23/03/2024;https://drive.google.com/open?id=1zVw22EU2KWKRKadIkcYkCkDqLWbqqXlD;Jogo
10/14/2024 15:34:59;Escolas ;De 14 a 18 de outubro a AUR esteve presente na Escola Secundária de Mem Martins, para mais uma iniciação ao rugby.;14/10/2024;https://drive.google.com/open?id=1fLMPZrskscN1M8UIismuNUMMqupZLsze;Atividade
10/20/2024 22:03:44;;No dia 5 de abril a AUR participou no Ubuntu Fest, um convívio entre várias escolas a nível nacional da academia de Líderes Ubuntu, na Quinta da Ribafria, Sintra.;05/04/2024;https://drive.google.com/open?id=1mUEUHDYiTGB0lShRlxZHLRPKgL1x1m-8;Atividade
10/20/2024 22:09:14;;"A AUR marcou presença no Portugal Rugby Youth Festival 2024 nos dias 6 e 7 de abril, em que 4 atletas fizeram parte da organização e que tivemos a participação dos escalões sub-13/15/19 na competição.  
Ainda neste Festival Internacional, tivemos 5 atletas femininas a jogar pela Seleção Regional Sul sub-15.";06/04/2024;https://drive.google.com/open?id=1skM95RAGR09740YSAg66rxIXXSbz-QJJ, https://drive.google.com/open?id=1dc8TpDHF5krEaRpOGzcbn3HyFSRRGU7X, https://drive.google.com/open?id=1U6IdU4MKl8wDGU9nB9ZhUgnH-dH811g2, https://drive.google.com/open?id=11o48szdX1_Oao-E2qpa5-92zy46Xv45L, https://drive.google.com/open?id=17evTv-6ZqTapqU1c_swk6B9pU6x_OOQN;Jogo
10/20/2024 22:19:56;;No dia 14 de abril a AUR celebrou o seu 11º aniversário, para além de um convívio entre atletas, familiares e amigos, houve um jogo de treinos dos seniores masculinos contra os Dark Horses Rugby e as sub19 e seniores femininas jogaram mais uma etapa do Torneio de Emergentes. ;14/04/2024;https://drive.google.com/open?id=1Xj9slJIWA46Di556kalecsqhgJ7B_hCu, https://drive.google.com/open?id=1yZE2AI8W0KNR7OrvhKWdWm9y1Lp87umK, https://drive.google.com/open?id=1kK_lJzxjfXosWuiqiD8U9UrwWUBqhnsh, https://drive.google.com/open?id=1FmdtLnvnq3S104BsQ3sBya2-QJ2uUA2Z;Jogo
10/21/2024 14:47:02;Escolas;De 3 a 26 de abril, para mais semanas de iniciação ao rugby, estivemos presentes no agrupamento de escolas Alto dos Moinhos, em Sintra. Fomos a cerca de 10 escolas e  alcançamos crianças desde a pré - primária até ao 6ºano. ;03/04/2024;https://drive.google.com/open?id=1cjw7uXknl5lWdCpP8T3OZeHkh8xID_qC;Atividade
10/21/2024 15:00:31;;No dia 15 de abril, a AESPTE esteve presente no Olga Cadaval, em Sintra, na apresentação do novo regulamento da Câmara Municipal de Sintra. ;15/04/2024;https://drive.google.com/open?id=1ZsZstublFYpvoz_cjlNvTrxGI__feXl8;Atividade
10/21/2024 15:04:28;;No dia 21 de abril, duas atletas seniores femininas, foram campeãs da Taça de Portugal Feminina pelo Sporting CP. Neste dia, os nossos sub-14 também participaram num torneio com o SL Benfica, nas Caldas da Rainha. ;21/04/2024;https://drive.google.com/open?id=1iG4XnYhIO0rYcQL0OMzMOVASvJVJxei0, https://drive.google.com/open?id=1QKh4wpjQjnOFhtxLEPOAAyx1AQsT4mfO;Jogo
